"","100AR","100BA","100BR","101AA","101AR","102AA","102AR","102BA","102BR","103AA","103AR","103BA","103BR","104AA","104AR","104BA","104BR","105AA","105AR","105BR","106AA","106AR","107AA","107AR","108AA","108AR","108BA","55AR","55BA","55BR","56AA","56AR","56BA","56BR","57AA","57AR","58AA","58AR","59AR","60AA","60AR","60BA","60BR","61AA","61AR","61BA","61BR","62AR","62BA","62BR","63AA","63AR","63BA","63BR","64AA","64AR","64BA","64BR","65AA","65AR","65BA","65BR","66AR","66BA","66BR","67AA","67AR","67BA","67BR","68AA","68AR","68BA","68BR","69AA","69AR","69BA","69BR","70AA","70AR","70BA","70BR","71AA","71AR","71BA","71BR","72AA","72AR","72BA","72BR","91AA","91AR","91BA","91BR","92AA","92AR","92BA","92BR","93AA","93AR","94AR","94BA","94BR","95AR","95BA","95BR","96AA","96AR","96BA","96BR","97AA","97AR","99AA","99AR","99BA","99BR"
"Sequence_53",3,2,1,4,2,4,0,1,0,1,0,1,0,3,1,2,1,3,5,0,1,1,3,2,2,5,1,1,1,0,1,4,0,0,1,0,3,5,2,7,2,2,1,1,0,3,0,1,1,0,1,2,3,1,6,3,2,1,1,0,1,0,0,4,1,0,4,0,0,1,2,0,0,2,6,0,0,2,1,3,2,4,2,4,0,2,0,3,0,4,2,3,0,2,5,2,0,3,2,2,1,1,3,2,0,2,5,0,1,2,0,1,0,2,3
"Sequence_55",1,4,0,3,4,1,0,4,0,7,1,4,1,2,2,0,1,4,2,0,6,0,1,1,4,0,1,1,3,2,4,1,1,5,2,1,5,4,0,5,3,0,0,2,1,4,2,0,3,1,4,0,0,0,3,4,7,0,3,0,4,0,0,2,1,3,3,8,0,5,5,2,1,4,6,4,1,3,2,0,0,5,3,3,1,3,1,2,0,2,3,1,2,4,0,4,0,3,0,2,1,1,2,3,0,2,3,4,0,5,0,4,1,1,0
"Sequence_56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sequence_58",0,5,3,0,0,0,0,4,0,1,0,6,21,1,0,1,16,0,0,19,1,0,0,0,0,0,4,9,2,0,0,0,14,16,4,0,0,0,3,0,0,2,10,2,0,1,10,0,0,26,0,0,10,6,0,0,2,0,0,46,2,28,27,0,2,1,0,6,6,2,0,7,2,1,0,0,0,0,62,1,7,0,0,1,32,1,30,0,111,0,0,6,20,0,5,2,0,2,0,0,1,0,0,7,15,0,0,4,8,2,13,2,0,7,0
"Sequence_59",110,302,3,77,146,136,63,386,36,43,153,263,28,112,93,319,14,148,145,17,139,86,202,102,116,155,307,32,257,0,143,129,220,0,204,87,107,148,43,140,157,334,2,129,113,344,7,101,366,12,135,127,278,9,94,139,290,38,136,15,294,1,12,311,0,132,93,322,10,95,131,344,5,137,126,331,2,140,34,324,3,111,40,320,0,146,22,392,13,78,131,238,13,77,63,297,1,87,141,214,316,2,102,251,19,120,152,308,11,78,41,133,159,241,28
"Sequence_60",41,20,9,185,16,94,17,8,11,199,3,20,9,145,4,4,10,79,6,3,60,11,54,4,52,4,9,5,11,5,101,9,32,3,50,23,101,16,7,104,9,14,14,77,15,11,9,8,3,2,96,13,20,6,115,7,15,8,98,5,4,6,3,2,11,78,23,7,7,96,11,15,4,108,27,2,6,85,7,15,8,65,13,6,8,72,4,14,13,77,5,22,5,142,9,9,2,163,22,17,6,4,11,13,5,90,8,31,13,153,9,107,21,6,8
"Sequence_61",1,1,1,1,1,0,0,1,0,3,0,1,0,0,3,4,0,1,0,0,1,0,0,0,2,0,0,0,1,1,1,0,0,0,0,3,4,2,0,2,0,0,1,2,1,2,0,1,0,1,5,6,2,0,6,2,2,1,3,1,1,0,0,0,0,4,3,0,0,0,0,3,1,3,0,3,0,3,1,2,0,4,0,4,0,3,0,1,0,3,3,2,0,1,0,0,0,2,1,2,2,0,0,1,1,1,0,0,0,1,1,0,2,0,0
"Sequence_64",9,3,4,4,10,2,7,4,3,7,6,10,1,4,14,7,5,9,6,5,9,17,0,12,7,9,9,8,8,10,5,13,4,4,8,15,4,8,8,7,6,2,3,6,8,8,15,30,8,6,4,9,7,15,3,8,3,11,7,1,8,7,4,3,7,3,9,2,2,5,23,2,2,6,9,7,12,3,4,8,12,6,12,1,10,7,7,7,3,3,14,6,12,6,10,3,5,2,8,7,7,5,13,2,2,8,13,7,6,7,6,0,4,2,4
"Sequence_65",2,3,0,0,6,1,1,0,2,0,0,0,2,3,6,0,0,0,6,0,0,7,1,11,0,2,0,1,2,0,0,1,0,0,1,6,0,2,2,0,1,0,0,0,7,0,1,8,0,0,0,4,1,1,0,3,1,0,0,1,0,0,0,0,0,1,8,1,0,0,10,0,0,2,6,2,0,2,0,1,1,0,5,0,1,0,0,0,0,0,6,0,1,0,3,2,1,0,7,9,2,3,4,1,0,0,7,0,2,0,8,0,6,0,2
"Sequence_66",0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,2,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,5,1
"Sequence_67",0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0
"Sequence_68",0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0,0,0,0,0,1,0,1,0,0
"Sequence_69",0,0,2,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,1,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,4,0,2,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,1,0,0,0,3,0,0,0,0,0,1
"Sequence_7",1,1,0,0,2,1,0,3,0,1,0,0,0,2,2,4,0,3,2,0,2,3,4,1,6,2,0,2,2,0,2,1,2,0,4,0,1,0,0,4,0,1,0,2,1,1,0,5,1,0,2,1,1,0,1,1,3,0,1,0,1,0,0,0,0,0,1,1,0,2,4,4,0,5,2,1,0,2,1,1,0,5,3,2,0,4,0,1,0,2,3,0,0,0,1,0,0,0,3,3,0,0,3,1,0,1,1,0,0,1,1,3,0,1,0
"Sequence_71",39,14,1,9,38,8,12,8,13,6,29,11,2,13,51,13,10,12,35,6,19,56,10,46,24,28,20,19,25,13,17,44,28,3,24,31,10,19,10,13,47,18,11,13,34,18,7,48,15,8,7,31,18,14,8,38,23,5,11,3,20,5,9,21,11,18,35,9,9,17,59,20,6,26,34,24,6,11,20,14,14,24,75,10,1,24,15,29,3,19,38,7,3,11,33,22,6,9,30,15,15,6,33,12,4,6,40,20,3,14,10,9,9,16,9
"Sequence_72",4,5,0,15,6,17,2,2,4,13,2,5,0,27,7,5,1,8,13,0,14,7,18,4,13,2,4,1,7,1,14,5,8,0,5,4,13,3,5,14,3,8,0,12,3,4,1,5,5,3,15,7,2,4,12,2,4,0,18,0,4,1,1,3,1,14,4,3,0,13,4,7,0,14,1,1,0,13,2,4,1,13,8,5,1,7,0,11,0,7,6,2,1,16,2,4,0,15,4,5,8,2,11,3,2,19,2,10,0,16,4,16,6,3,0
"Sequence_73",4,1,16,1,4,1,11,1,0,0,1,0,3,0,11,0,29,3,8,11,3,5,2,1,7,5,2,8,0,9,3,2,1,3,0,6,1,9,25,2,4,0,4,4,6,3,33,7,2,3,0,4,2,18,1,6,2,24,3,2,3,17,2,1,6,1,10,0,4,1,7,0,1,3,5,2,5,0,2,0,12,1,9,1,1,2,2,0,1,1,14,0,6,1,3,0,2,2,13,3,1,14,4,2,1,2,6,0,5,0,6,0,1,1,10
"Sequence_74",0,0,0,2,0,0,0,0,4,0,0,1,7,1,1,0,5,1,5,2,0,0,1,1,1,0,1,0,0,1,1,0,2,3,1,0,2,1,0,0,3,2,10,0,3,0,2,1,0,15,0,2,1,0,0,2,0,1,0,1,0,13,1,0,3,0,3,0,1,0,5,0,0,1,3,0,1,0,2,0,0,0,5,0,0,0,1,0,0,1,1,0,3,1,7,0,0,0,2,1,1,1,1,0,2,0,1,1,3,0,1,0,0,1,3
"Sequence_75",1,1,0,2,1,1,2,0,1,0,0,2,0,2,1,4,0,2,1,1,1,4,1,1,0,2,4,1,0,0,0,1,5,0,3,5,2,1,1,2,2,2,1,2,1,1,1,1,1,0,0,0,2,0,1,8,3,1,4,1,3,2,0,1,3,1,0,1,2,0,2,1,1,1,1,0,1,0,0,2,0,2,1,0,0,5,3,3,0,0,2,2,0,3,0,5,0,0,3,1,2,2,0,1,1,1,0,0,0,0,1,2,0,3,1
"Sequence_77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sequence_79",22,29,7,11,40,16,8,60,12,7,18,58,6,16,17,40,8,15,18,4,12,26,30,23,43,21,43,10,33,9,11,31,44,4,33,50,12,27,22,11,24,40,10,17,56,28,4,34,24,5,21,52,60,13,17,31,76,2,44,2,46,4,3,45,23,26,19,31,11,19,27,45,10,14,18,42,2,17,6,54,8,25,26,13,2,19,10,27,5,39,9,73,6,26,16,43,3,22,36,57,44,10,17,62,8,7,8,47,10,9,43,12,74,56,6
"Sequence_8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sequence_80",29,42,2,56,16,13,7,105,3,83,17,95,3,46,5,140,4,72,28,0,97,42,67,26,37,26,76,16,84,0,17,22,55,1,55,28,38,22,6,11,18,65,19,59,18,66,5,43,133,0,47,36,70,0,64,26,60,0,48,5,96,0,10,137,8,20,12,83,2,38,18,85,0,37,31,120,0,39,18,108,2,31,35,89,1,59,8,69,0,18,9,85,2,23,23,84,2,62,14,2,159,0,47,86,1,12,11,87,1,12,1,29,17,49,1
"Sequence_81",0,38,1,39,2,30,0,46,0,54,0,43,0,15,1,32,2,27,1,0,35,1,29,3,24,0,31,2,45,0,24,1,41,2,41,2,12,0,0,13,1,40,2,44,4,37,0,1,47,0,46,5,43,0,26,1,52,0,11,0,51,1,0,51,1,22,0,45,0,21,0,59,0,40,5,25,0,36,1,57,2,23,1,35,1,51,0,58,0,16,0,49,1,23,1,28,1,34,4,3,29,2,2,45,0,16,3,51,1,11,2,39,2,48,3
"Sequence_82",4,4,1,18,4,19,1,1,2,23,1,2,0,20,0,1,2,11,1,0,3,0,3,0,8,1,0,0,2,2,12,1,3,0,8,2,11,2,2,11,1,1,1,10,1,1,0,0,0,0,15,1,1,2,7,1,2,2,11,0,1,0,0,0,1,5,2,2,0,17,0,0,1,12,7,0,0,5,1,1,3,7,2,2,3,10,1,0,2,4,1,1,0,16,0,1,2,18,4,2,0,0,1,1,1,7,1,1,2,22,1,16,0,2,1
"Sequence_83",10,0,0,0,3,0,0,0,4,0,3,0,0,1,2,0,1,2,4,0,2,31,0,2,0,12,0,5,0,0,0,13,0,0,1,10,0,9,1,1,1,0,0,1,4,0,0,21,0,0,3,13,0,0,1,12,0,0,2,4,0,0,1,0,0,1,3,0,0,0,7,0,0,2,1,0,0,0,2,0,0,1,9,0,0,0,0,0,0,0,3,0,0,3,0,0,0,1,3,3,0,0,12,0,0,1,7,0,0,0,1,1,5,0,1
"Sequence_84",104,162,254,176,139,216,260,90,17,87,179,108,200,148,227,26,233,186,237,282,138,112,188,295,114,112,75,115,101,259,209,152,144,149,183,135,200,193,185,301,201,110,171,175,189,123,251,73,50,294,157,163,187,217,146,141,96,282,189,28,74,198,165,89,244,250,182,144,228,203,126,113,191,152,188,78,267,136,89,99,264,162,124,147,223,135,197,81,189,254,174,188,174,207,196,144,252,170,183,219,60,248,222,132,221,292,110,104,182,207,308,177,170,203,278
"Sequence_85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Sequence_86",18,1,13,3,7,1,10,0,27,1,17,3,24,3,52,3,10,3,23,7,4,42,3,15,4,36,2,21,1,9,4,29,1,14,0,12,0,21,13,1,21,1,14,0,14,1,13,27,7,29,1,10,4,17,0,22,4,10,5,17,0,11,19,1,15,0,22,0,8,2,26,3,15,2,27,2,9,0,30,0,13,1,33,3,17,3,21,1,21,0,33,2,23,4,19,4,13,2,26,12,3,12,16,2,10,3,36,2,28,3,6,0,5,4,22
"Sequence_87",36,41,32,24,31,25,35,22,17,18,18,33,20,37,36,9,24,17,27,21,15,22,26,22,20,31,25,26,69,10,40,28,66,6,22,16,21,15,31,21,31,77,22,34,30,35,19,33,20,31,28,31,51,37,49,50,44,41,28,48,34,6,9,16,15,47,48,42,23,27,22,31,17,30,40,11,50,27,8,31,34,33,51,62,26,24,32,27,14,24,34,41,68,35,27,36,46,21,42,15,15,28,43,36,19,29,26,52,25,52,17,26,21,25,38
"Sequence_88",60,1,14,6,38,0,28,2,41,0,17,1,21,4,16,1,16,7,23,18,5,20,2,36,10,20,4,26,2,9,4,21,6,42,4,58,2,22,17,1,23,0,31,5,56,2,12,40,1,16,2,38,1,12,1,36,1,9,2,42,2,11,44,2,11,15,23,0,29,8,22,1,20,2,31,1,24,3,34,3,22,3,26,1,32,7,31,1,42,9,22,4,35,1,25,3,20,2,25,53,4,7,21,0,30,2,41,0,22,1,47,2,64,1,15
"Sequence_9",1,1,0,0,3,0,22,8,4,1,1,2,0,3,0,9,8,1,3,12,0,12,6,6,2,41,10,7,2,5,2,9,6,7,2,17,3,44,11,0,18,1,13,3,15,2,11,20,2,7,0,9,1,10,2,19,3,13,5,2,7,28,9,2,29,1,1,3,20,1,21,1,11,3,18,4,14,1,2,4,6,2,9,4,2,2,18,1,2,0,4,1,0,1,3,7,5,1,1,2,9,18,2,2,7,0,7,4,2,0,1,1,0,6,7
"Sequence_90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Sequence_92",5,0,0,0,6,0,1,3,4,0,5,0,2,1,7,0,4,0,3,1,0,4,0,4,0,5,1,3,0,0,0,6,0,3,0,7,0,5,6,0,2,1,2,0,3,0,1,6,0,0,0,2,1,1,1,2,0,1,1,4,0,2,1,0,1,2,14,1,1,2,2,2,4,0,3,3,0,0,7,0,1,0,5,0,2,1,6,5,5,0,11,0,2,1,6,0,2,0,7,3,2,1,2,0,1,1,5,1,3,0,3,3,4,0,1
"Sequence_93",31,1,65,8,29,3,56,0,40,4,42,4,60,9,33,1,98,10,42,76,5,27,6,30,10,25,1,29,2,83,4,21,0,26,1,15,6,24,77,8,48,1,54,6,36,0,99,22,0,47,6,20,2,77,7,18,1,54,3,16,1,57,25,2,69,7,26,0,46,5,30,0,76,2,22,1,133,3,11,1,112,6,34,1,71,4,62,2,13,5,52,2,88,4,56,0,102,10,28,13,2,84,46,0,23,0,48,0,59,1,44,7,8,0,56
"Sequence_94",0,0,1,0,0,0,68,3,0,0,7,1,1,0,0,3,16,0,0,10,0,1,1,0,0,1,0,10,1,15,0,1,0,15,0,0,0,1,40,0,0,0,2,0,0,1,3,2,4,6,0,0,0,39,0,0,8,15,1,3,1,37,11,9,65,0,0,0,58,0,0,0,7,0,0,4,43,0,3,0,24,0,1,0,1,0,22,0,0,0,0,1,7,0,0,1,2,0,0,0,1,57,0,0,2,0,1,0,0,0,5,0,1,0,21
